     000    0    0    0           0.000000	0	   82	    A+   
     020    0    0    0        3139.050027	36	   5	    B+   
     010    0    0    0        1588.276028	22	   13	    A+   
     100    0    0    0        3649.685417	50	   3	    B+   
     030    0    0    0        4648.477809	341	   3	    B+   
     110    0    0    0        5221.243307	377	   2	    B+   
     120    0    0    0        6755.510366	283	   5	    B+   
     200    0    0    0        7185.878096	506	   4	    B+   
     002    0    0    0        7418.724061	294	   3	    B+   
     130    0    0    0        8249.037152	459	   2	    B+   
     210    0    0    0        8739.525858	503	   1	    C   
     012    0    0    0        8967.565058	503	   1	    C   
     220    0    0    0       10256.584858	503	   1	    C   
     022    0    0    0       10483.221458	503	   1	    C   
     300    0    0    0       10573.916858	503	   1	    C   
     102    0    0    0       10839.955723	499	   2	    B+   
     230    0    0    0       11734.525057	503	   1	    C   
     032    0    0    0       11963.537158	503	   1	    C   
     310    0    0    0       12106.977658	503	   1	    C   
     112    0    0    0       12372.705608	410	   2	    B+   
     202    0    0    0       14187.982458	1358	   1	    C   
     040    0    0    0        6110.423857	503	   1	    C   
     101    1    0    1        7252.020095	225	   10	    A+   
     111    1    0    1        8802.910159	276	   7	    A+   
     001    1    0    1        3765.090783	29	   9	    A+   
     121    1    0    1       10318.849839	325	   6	    A+   
     041    1    0    1        9818.905812	356	   2	    B-   
     011    1    0    1        5334.023328	147	   14	    A+   
     201    1    0    1       10608.781812	474	   2	    B-   
     003    1    0    1       11016.705146	288	   6	    A+   
     131    1    0    1       11797.914067	280	   4	    B+   
     211    1    0    1       12139.442836	251	   5	    B+   
     021    1    0    1        6868.184395	140	   14	    A+   
     013    1    0    1       12543.229612	127	   7	    A+   
     221    1    0    1       13635.477147	170	   2	    B-   
     301    1    0    1       13817.703792	354	   3	    B+   
     031    1    0    1        8364.700663	255	   8	    A+   
     103    1    0    1       14298.911556	46	   2	    B-   
     321    1    0    1       16797.751212	1854	   2	    B-   
     401    1    0    1       16877.127212	1552	   2	    B-   
     120    1    1    1        6798.200519	184	   9	    A+   
     002    1    1    1        7452.988404	192	   8	    A+   
     110    1    1    1        5259.988609	193	   11	    A+   
     102    1    1    1       10873.662769	360	   4	    B+   
     130    1    1    1        8297.669860	238	   6	    A+   
     230    1    1    1       11781.146949	675	   2	    B-   
     020    1    1    1        3183.005209	29	   14	    A+   
     200    1    1    1        7220.749342	57	   10	    A+   
     032    1    1    1       12008.004600	503	   1	    C   
     310    1    1    1       12143.475236	307	   6	    A+   
     010    1    1    1        1628.060346	13	   35	    A+   
     000    1    1    1          36.748658	0	   197	    A+   
     112    1    1    1       12408.797987	252	   7	    A+   
     040    1    1    1        6170.327684	269	   5	    B+   
     012    1    1    1        9004.273507	291	   3	    B-   
     100    1    1    1        3685.532695	32	   7	    A+   
     220    1    1    1       10299.028982	363	   3	    B-   
     400    1    1    1       13826.272024	704	   1	    C   
     202    1    1    1       14221.020804	786	   2	    B-   
     210    1    1    1        8777.127263	325	   4	    B+   
     030    1    1    1        4698.531621	230	   8	    A+   
     300    1    1    1       10607.003306	286	   6	    A+   
     022    1    1    1       10523.170700	503	   1	    C   
     500    1    1    1       16887.668000	1508	   1	    C   
     003    1    1    0       11032.114863	349	   3	    B+   
     001    1    1    0        3782.301607	35	   8	    A+   
     201    1    1    0       10624.211493	348	   4	    B+   
     013    1    1    0       12561.083083	97	   6	    A+   
     221    1    1    0       13657.844948	87	   2	    B-   
     041    1    1    0        9856.427943	653	   2	    B-   
     131    1    1    0       11826.257841	332	   4	    B+   
     021    1    1    0        6892.235036	198	   9	    A+   
     101    1    1    0        7268.720168	202	   8	    A+   
     121    1    1    0       10342.068979	287	   4	    B+   
     103    1    1    0       14314.081643	103	   2	    B-   
     211    1    1    0       12158.505570	251	   5	    B+   
     111    1    1    0        8822.456740	229	   5	    B+   
     401    1    1    0       16893.064143	1171	   2	    B-   
     011    1    1    0        5354.198254	174	   10	    A+   
     301    1    1    0       13833.449477	738	   3	    B+   
     031    1    1    0        8394.125118	223	   7	    A+   
     110    2    0    2        5290.127962	160	   13	    A+   
     100    2    0    2        3718.417465	37	   10	    A+   
     012    2    0    2        9036.006277	294	   4	    B+   
     220    2    0    2       10324.495482	480	   3	    B-   
     022    2    0    2       10551.919628	503	   1	    C   
     040    2    0    2        6180.712758	235	   5	    B+   
     300    2    0    2       10640.555793	357	   2	    B-   
     102    2    0    2       10906.730152	286	   4	    B+   
     120    2    0    2        6824.498438	181	   10	    A+   
     230    2    0    2       11802.484969	331	   4	    B+   
     032    2    0    2       12032.436042	503	   1	    C   
     020    2    0    2        3209.226292	24	   15	    A+   
