transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43775.685361	0.05	B3Sigma-	4	0	F2	e	X3Sigma-	0	1	F2	e	22HeStLy.1
43774.267240	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	2	F2	e	22HeStLy.2
43772.376469	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	3	F2	e	22HeStLy.3
43770.007864	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	4	F2	e	22HeStLy.4
43767.166448	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	5	F2	e	22HeStLy.5
43763.856400	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	6	F2	e	22HeStLy.6
43760.079903	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	7	F2	e	22HeStLy.7
43755.837893	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	8	F2	e	22HeStLy.8
43751.130682	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	9	F2	e	22HeStLy.9
43745.958298	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	10	F2	e	22HeStLy.10
43740.320652	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	11	F2	e	22HeStLy.11
43734.217613	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	12	F2	e	22HeStLy.12
43727.649047	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	13	F2	e	22HeStLy.13
43720.614826	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	14	F2	e	22HeStLy.14
43713.114835	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	15	F2	e	22HeStLy.15
43705.148973	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	16	F2	e	22HeStLy.16
43696.717152	0.05	B3Sigma-	4	16	F2	e	X3Sigma-	0	17	F2	e	22HeStLy.17
43687.819292	0.05	B3Sigma-	4	17	F2	e	X3Sigma-	0	18	F2	e	22HeStLy.18
43678.455327	0.05	B3Sigma-	4	18	F2	e	X3Sigma-	0	19	F2	e	22HeStLy.19
43668.625194	0.05	B3Sigma-	4	19	F2	e	X3Sigma-	0	20	F2	e	22HeStLy.20
43658.328839	0.05	B3Sigma-	4	20	F2	e	X3Sigma-	0	21	F2	e	22HeStLy.21
43647.566211	0.05	B3Sigma-	4	21	F2	e	X3Sigma-	0	22	F2	e	22HeStLy.22
43636.337264	0.05	B3Sigma-	4	22	F2	e	X3Sigma-	0	23	F2	e	22HeStLy.23
43624.641954	0.05	B3Sigma-	4	23	F2	e	X3Sigma-	0	24	F2	e	22HeStLy.24
43612.480239	0.05	B3Sigma-	4	24	F2	e	X3Sigma-	0	25	F2	e	22HeStLy.25
43599.852080	0.05	B3Sigma-	4	25	F2	e	X3Sigma-	0	26	F2	e	22HeStLy.26
43586.757438	0.05	B3Sigma-	4	26	F2	e	X3Sigma-	0	27	F2	e	22HeStLy.27
43573.196275	0.05	B3Sigma-	4	27	F2	e	X3Sigma-	0	28	F2	e	22HeStLy.28
43559.168552	0.05	B3Sigma-	4	28	F2	e	X3Sigma-	0	29	F2	e	22HeStLy.29
43544.674232	0.05	B3Sigma-	4	29	F2	e	X3Sigma-	0	30	F2	e	22HeStLy.30
43529.713277	0.05	B3Sigma-	4	30	F2	e	X3Sigma-	0	31	F2	e	22HeStLy.31
43514.285647	0.05	B3Sigma-	4	31	F2	e	X3Sigma-	0	32	F2	e	22HeStLy.32
43498.391305	0.05	B3Sigma-	4	32	F2	e	X3Sigma-	0	33	F2	e	22HeStLy.33
43482.030209	0.05	B3Sigma-	4	33	F2	e	X3Sigma-	0	34	F2	e	22HeStLy.34
43465.202319	0.05	B3Sigma-	4	34	F2	e	X3Sigma-	0	35	F2	e	22HeStLy.35
43447.907594	0.05	B3Sigma-	4	35	F2	e	X3Sigma-	0	36	F2	e	22HeStLy.36
43430.145989	0.05	B3Sigma-	4	36	F2	e	X3Sigma-	0	37	F2	e	22HeStLy.37
43411.917461	0.05	B3Sigma-	4	37	F2	e	X3Sigma-	0	38	F2	e	22HeStLy.38
43393.221965	0.05	B3Sigma-	4	38	F2	e	X3Sigma-	0	39	F2	e	22HeStLy.39
43374.059454	0.05	B3Sigma-	4	39	F2	e	X3Sigma-	0	40	F2	e	22HeStLy.40
43354.429880	0.05	B3Sigma-	4	40	F2	e	X3Sigma-	0	41	F2	e	22HeStLy.41
43334.333193	0.05	B3Sigma-	4	41	F2	e	X3Sigma-	0	42	F2	e	22HeStLy.42
43313.769343	0.05	B3Sigma-	4	42	F2	e	X3Sigma-	0	43	F2	e	22HeStLy.43
43292.738277	0.05	B3Sigma-	4	43	F2	e	X3Sigma-	0	44	F2	e	22HeStLy.44
43271.239942	0.05	B3Sigma-	4	44	F2	e	X3Sigma-	0	45	F2	e	22HeStLy.45
43249.274283	0.05	B3Sigma-	4	45	F2	e	X3Sigma-	0	46	F2	e	22HeStLy.46
43226.841243	0.05	B3Sigma-	4	46	F2	e	X3Sigma-	0	47	F2	e	22HeStLy.47
43203.940763	0.05	B3Sigma-	4	47	F2	e	X3Sigma-	0	48	F2	e	22HeStLy.48
43180.572784	0.05	B3Sigma-	4	48	F2	e	X3Sigma-	0	49	F2	e	22HeStLy.49
43156.737245	0.05	B3Sigma-	4	49	F2	e	X3Sigma-	0	50	F2	e	22HeStLy.50
43765.706366	0.05	B3Sigma-	4	0	F2	e	X3Sigma-	0	1	F1	e	22HeStLy.51
43762.798165	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	2	F1	e	22HeStLy.52
43758.979613	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	3	F1	e	22HeStLy.53
43754.407063	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	4	F1	e	22HeStLy.54
43749.186939	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	5	F1	e	22HeStLy.55
43743.384391	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	6	F1	e	22HeStLy.56
43737.038655	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	7	F1	e	22HeStLy.57
43730.173864	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	8	F1	e	22HeStLy.58
43722.805365	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	9	F1	e	22HeStLy.59
43714.943266	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	10	F1	e	22HeStLy.60
43706.594454	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	11	F1	e	22HeStLy.61
43697.763762	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	12	F1	e	22HeStLy.62
43688.454675	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	13	F1	e	22HeStLy.63
43678.669771	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	14	F1	e	22HeStLy.64
43668.410995	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	15	F1	e	22HeStLy.65
43657.679843	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	16	F1	e	22HeStLy.66
43646.477488	0.05	B3Sigma-	4	16	F2	e	X3Sigma-	0	17	F1	e	22HeStLy.67
43634.804862	0.05	B3Sigma-	4	17	F2	e	X3Sigma-	0	18	F1	e	22HeStLy.68
43622.662717	0.05	B3Sigma-	4	18	F2	e	X3Sigma-	0	19	F1	e	22HeStLy.69
43610.051669	0.05	B3Sigma-	4	19	F2	e	X3Sigma-	0	20	F1	e	22HeStLy.70
43596.972224	0.05	B3Sigma-	4	20	F2	e	X3Sigma-	0	21	F1	e	22HeStLy.71
43583.424808	0.05	B3Sigma-	4	21	F2	e	X3Sigma-	0	22	F1	e	22HeStLy.72
43569.409779	0.05	B3Sigma-	4	22	F2	e	X3Sigma-	0	23	F1	e	22HeStLy.73
43554.927442	0.05	B3Sigma-	4	23	F2	e	X3Sigma-	0	24	F1	e	22HeStLy.74
43539.978058	0.05	B3Sigma-	4	24	F2	e	X3Sigma-	0	25	F1	e	22HeStLy.75
43524.561852	0.05	B3Sigma-	4	25	F2	e	X3Sigma-	0	26	F1	e	22HeStLy.76
43508.679022	0.05	B3Sigma-	4	26	F2	e	X3Sigma-	0	27	F1	e	22HeStLy.77
43492.329739	0.05	B3Sigma-	4	27	F2	e	X3Sigma-	0	28	F1	e	22HeStLy.78
43475.514155	0.05	B3Sigma-	4	28	F2	e	X3Sigma-	0	29	F1	e	22HeStLy.79
43458.232402	0.05	B3Sigma-	4	29	F2	e	X3Sigma-	0	30	F1	e	22HeStLy.80
43440.484598	0.05	B3Sigma-	4	30	F2	e	X3Sigma-	0	31	F1	e	22HeStLy.81
43422.270849	0.05	B3Sigma-	4	31	F2	e	X3Sigma-	0	32	F1	e	22HeStLy.82
43403.591249	0.05	B3Sigma-	4	32	F2	e	X3Sigma-	0	33	F1	e	22HeStLy.83
43384.445881	0.05	B3Sigma-	4	33	F2	e	X3Sigma-	0	34	F1	e	22HeStLy.84
43364.834820	0.05	B3Sigma-	4	34	F2	e	X3Sigma-	0	35	F1	e	22HeStLy.85
43344.758133	0.05	B3Sigma-	4	35	F2	e	X3Sigma-	0	36	F1	e	22HeStLy.86
43324.215880	0.05	B3Sigma-	4	36	F2	e	X3Sigma-	0	37	F1	e	22HeStLy.87
43303.208114	0.05	B3Sigma-	4	37	F2	e	X3Sigma-	0	38	F1	e	22HeStLy.88
43281.734883	0.05	B3Sigma-	4	38	F2	e	X3Sigma-	0	39	F1	e	22HeStLy.89
43259.796229	0.05	B3Sigma-	4	39	F2	e	X3Sigma-	0	40	F1	e	22HeStLy.90
43237.392190	0.05	B3Sigma-	4	40	F2	e	X3Sigma-	0	41	F1	e	22HeStLy.91
43214.522799	0.05	B3Sigma-	4	41	F2	e	X3Sigma-	0	42	F1	e	22HeStLy.92
43191.188085	0.05	B3Sigma-	4	42	F2	e	X3Sigma-	0	43	F1	e	22HeStLy.93
43167.388073	0.05	B3Sigma-	4	43	F2	e	X3Sigma-	0	44	F1	e	22HeStLy.94
43143.122784	0.05	B3Sigma-	4	44	F2	e	X3Sigma-	0	45	F1	e	22HeStLy.95
43118.392236	0.05	B3Sigma-	4	45	F2	e	X3Sigma-	0	46	F1	e	22HeStLy.96
43093.196445	0.05	B3Sigma-	4	46	F2	e	X3Sigma-	0	47	F1	e	22HeStLy.97
43067.535422	0.05	B3Sigma-	4	47	F2	e	X3Sigma-	0	48	F1	e	22HeStLy.98
43041.409175	0.05	B3Sigma-	4	48	F2	e	X3Sigma-	0	49	F1	e	22HeStLy.99
43014.817710	0.05	B3Sigma-	4	49	F2	e	X3Sigma-	0	50	F1	e	22HeStLy.100
43770.413879	0.05	B3Sigma-	4	1	F1	f	X3Sigma-	0	2	F1	f	22HeStLy.101
43768.072546	0.05	B3Sigma-	4	2	F1	f	X3Sigma-	0	3	F1	f	22HeStLy.102
43765.264494	0.05	B3Sigma-	4	3	F1	f	X3Sigma-	0	4	F1	f	22HeStLy.103
43761.989744	0.05	B3Sigma-	4	4	F1	f	X3Sigma-	0	5	F1	f	22HeStLy.104
43758.248314	0.05	B3Sigma-	4	5	F1	f	X3Sigma-	0	6	F1	f	22HeStLy.105
