transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43785.752835	0.05	B3Sigma-	4	0	F2	e	X3Sigma-	0	1	F2	e	22HeStLy.1
43784.312929	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	2	F2	e	22HeStLy.2
43782.389095	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	3	F2	e	22HeStLy.3
43779.981433	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	4	F2	e	22HeStLy.4
43777.096991	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	5	F2	e	22HeStLy.5
43773.740194	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	6	F2	e	22HeStLy.6
43769.912956	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	7	F2	e	22HeStLy.7
43765.615890	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	8	F2	e	22HeStLy.8
43760.849046	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	9	F2	e	22HeStLy.9
43755.612267	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	10	F2	e	22HeStLy.10
43749.905341	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	11	F2	e	22HeStLy.11
43743.728062	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	12	F2	e	22HeStLy.12
43737.080253	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	13	F2	e	22HeStLy.13
43729.961772	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	14	F2	e	22HeStLy.14
43722.372507	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	15	F2	e	22HeStLy.15
43714.312380	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	16	F2	e	22HeStLy.16
43705.781334	0.05	B3Sigma-	4	16	F2	e	X3Sigma-	0	17	F2	e	22HeStLy.17
43696.779337	0.05	B3Sigma-	4	17	F2	e	X3Sigma-	0	18	F2	e	22HeStLy.18
43687.306373	0.05	B3Sigma-	4	18	F2	e	X3Sigma-	0	19	F2	e	22HeStLy.19
43677.362442	0.05	B3Sigma-	4	19	F2	e	X3Sigma-	0	20	F2	e	22HeStLy.20
43666.947558	0.05	B3Sigma-	4	20	F2	e	X3Sigma-	0	21	F2	e	22HeStLy.21
43656.061747	0.05	B3Sigma-	4	21	F2	e	X3Sigma-	0	22	F2	e	22HeStLy.22
43644.705044	0.05	B3Sigma-	4	22	F2	e	X3Sigma-	0	23	F2	e	22HeStLy.23
43632.877493	0.05	B3Sigma-	4	23	F2	e	X3Sigma-	0	24	F2	e	22HeStLy.24
43620.579144	0.05	B3Sigma-	4	24	F2	e	X3Sigma-	0	25	F2	e	22HeStLy.25
43607.810058	0.05	B3Sigma-	4	25	F2	e	X3Sigma-	0	26	F2	e	22HeStLy.26
43594.570298	0.05	B3Sigma-	4	26	F2	e	X3Sigma-	0	27	F2	e	22HeStLy.27
